index,Gbb,Complete probability,Complete samples,Error,Mean length,Total samples
-20.0,-20.0,0.0,0.0,,2.0300000000000002,1000.0
-19.0,-19.0,0.0,0.0,,2.0305999999999997,1000.0
-18.0,-18.0,0.0,0.0,,2.0308,1000.0
-17.0,-17.0,0.0,0.0,,2.0326,1000.0
-16.0,-16.0,0.0,0.0,,2.0347999999999997,1000.0
-15.0,-15.0,0.0,0.0,,2.049,1000.0
-14.0,-14.0,0.0,0.0,,2.0422000000000002,1000.0
-13.0,-13.0,0.0,0.0,,2.107,1000.0
-12.0,-12.0,0.0,0.0,,2.2248,1000.0
-11.0,-11.0,0.0,0.0,,2.5318000000000005,1000.0
-10.0,-10.0,0.0,0.0,,3.0542000000000002,1000.0
-9.0,-9.0,0.0,0.0,,3.7368,1000.0
-8.0,-8.0,0.0,0.0,,3.6835999999999998,1000.0
-7.0,-7.0,0.0,0.0,,3.2854000000000005,1000.0
-6.0,-6.0,0.0,0.0,,2.7632,1000.0
-5.0,-5.0,0.0,0.0,,2.3776,1000.0
-4.0,-4.0,0.0,0.0,,2.1806000000000005,1000.0
-3.0,-3.0,0.0,0.0,,2.0732,1000.0
-2.0,-2.0,0.0,0.0,,2.0343999999999998,1000.0
-1.0,-1.0,0.0,0.0,,2.0113999999999996,1000.0
0.0,0.0,0.0,0.0,,2.0052,1000.0
