seed,length_limit,time_limit,max_pols,k0,k,kact,ConcEff,Gact,Gbb,Conc0,Conc1,G0,G1,Ggen,Gend,outputfilename,outputtrajfilename,print_flag,print_valid_trans_flag,write_output_flag,write_traj_flag,traj_write_interval,breakable_backbone_flag,off_rate_discrim_flag,test_tact_flag,local_updates_flag,use_test_rates_flag
15215551,30,1000,1000,1,1,0,100,0,0.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215552,30,1000,1000,1,1,0,100,0,0.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215553,30,1000,1000,1,1,0,100,0,0.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215554,30,1000,1000,1,1,0,100,0,0.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215555,30,1000,1000,1,1,0,100,0,0.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215556,30,1000,1000,1,1,0,100,0,-1.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215557,30,1000,1000,1,1,0,100,0,-1.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215558,30,1000,1000,1,1,0,100,0,-1.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215559,30,1000,1000,1,1,0,100,0,-1.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215560,30,1000,1000,1,1,0,100,0,-1.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215561,30,1000,1000,1,1,0,100,0,-2.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215562,30,1000,1000,1,1,0,100,0,-2.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215563,30,1000,1000,1,1,0,100,0,-2.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215564,30,1000,1000,1,1,0,100,0,-2.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215565,30,1000,1000,1,1,0,100,0,-2.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215566,30,1000,1000,1,1,0,100,0,-3.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215567,30,1000,1000,1,1,0,100,0,-3.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215568,30,1000,1000,1,1,0,100,0,-3.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215569,30,1000,1000,1,1,0,100,0,-3.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215570,30,1000,1000,1,1,0,100,0,-3.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215571,30,1000,1000,1,1,0,100,0,-4.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215572,30,1000,1000,1,1,0,100,0,-4.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215573,30,1000,1000,1,1,0,100,0,-4.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215574,30,1000,1000,1,1,0,100,0,-4.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215575,30,1000,1000,1,1,0,100,0,-4.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215576,30,1000,1000,1,1,0,100,0,-5.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215577,30,1000,1000,1,1,0,100,0,-5.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215578,30,1000,1000,1,1,0,100,0,-5.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215579,30,1000,1000,1,1,0,100,0,-5.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215580,30,1000,1000,1,1,0,100,0,-5.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215581,30,1000,1000,1,1,0,100,0,-6.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215582,30,1000,1000,1,1,0,100,0,-6.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215583,30,1000,1000,1,1,0,100,0,-6.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215584,30,1000,1000,1,1,0,100,0,-6.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215585,30,1000,1000,1,1,0,100,0,-6.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215586,30,1000,1000,1,1,0,100,0,-7.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215587,30,1000,1000,1,1,0,100,0,-7.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215588,30,1000,1000,1,1,0,100,0,-7.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215589,30,1000,1000,1,1,0,100,0,-7.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215590,30,1000,1000,1,1,0,100,0,-7.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215591,30,1000,1000,1,1,0,100,0,-8.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215592,30,1000,1000,1,1,0,100,0,-8.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215593,30,1000,1000,1,1,0,100,0,-8.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215594,30,1000,1000,1,1,0,100,0,-8.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215595,30,1000,1000,1,1,0,100,0,-8.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215596,30,1000,1000,1,1,0,100,0,-9.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215597,30,1000,1000,1,1,0,100,0,-9.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215598,30,1000,1000,1,1,0,100,0,-9.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215599,30,1000,1000,1,1,0,100,0,-9.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215600,30,1000,1000,1,1,0,100,0,-9.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215601,30,1000,1000,1,1,0,100,0,-10.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215602,30,1000,1000,1,1,0,100,0,-10.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215603,30,1000,1000,1,1,0,100,0,-10.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215604,30,1000,1000,1,1,0,100,0,-10.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215605,30,1000,1000,1,1,0,100,0,-10.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
15215606,30,1000,1000,1,1,0,100,0,-11.0,0,1,0,-4,0,0,output.csv,traj.csv,0,0,1,1,10000,1,1,0,1,0
