Time (s),Template length,# TC bonds,# Active template sites (s),# total,# Polymers,# other way of counting Polymers,# Monomers,<pollength/siteidx> avg over polymers,<attached by/polymer length> avg over polymers,<spacing> avg over polymers 
0,30,0,30,0,0,0,0,-nan,-nan,29
1000,30,28,30,15,14,14,1,0.964286,0.178784,0.142857
2000,30,29,30,17,16,16,1,0.949569,0.189433,0.0625
2999.99,30,30,30,17,15,15,2,0.972414,0.168179,0
4000,30,30,30,15,13,13,2,1,0.164589,0
4999.99,30,30,30,11,11,11,0,0.898485,0.319988,0
5999.97,30,30,30,12,12,12,0,0.970238,0.222829,0
6999.99,30,28,30,15,15,15,0,1,0.210692,0.142857
7999.98,30,28,30,14,14,14,0,0.954545,0.219469,0.153846
8999.99,30,30,30,18,17,17,1,0.957983,0.158675,0
9999.98,30,30,30,18,16,16,2,0.96875,0.150677,0
11000,30,30,30,16,16,16,0,0.975962,0.209244,0
12000,30,29,30,16,16,16,0,1,0.208077,0.0666667
13000,30,29,30,20,19,19,1,1,0.135679,0.0526316
13999.9,30,30,30,17,16,16,1,1,0.16442,0
15000,30,29,30,20,19,19,1,1,0.147195,0.0526316
16000,30,29,30,16,15,15,1,1,0.150435,0.0666667
16999.9,30,30,30,14,13,13,1,1,0.186954,0
18000,30,29,30,17,15,15,2,1,0.168898,0.0625
19000,30,29,30,16,14,14,2,0.959184,0.198194,0.0666667
20000,30,30,30,12,12,12,0,0.928571,0.292531,0
21000,30,28,30,14,12,12,2,1,0.178648,0.153846
22000,30,30,30,16,16,16,0,0.977273,0.185437,0
23000,30,29,30,17,16,16,1,1,0.138464,0.0625
24000,30,29,30,14,13,13,1,0.960212,0.175139,0.0769231
25000,30,30,30,16,15,15,1,0.966667,0.20893,0
26000,30,29,30,12,11,11,1,1,0.210791,0.0909091
27000,30,29,30,14,13,13,1,0.990937,0.193951,0.0769231
28000,30,30,30,19,15,15,4,0.974074,0.163189,0
29000,30,30,30,14,13,13,1,0.991453,0.191943,0
30000,30,30,30,19,18,18,1,0.977366,0.157606,0
31000,30,28,30,17,15,15,2,1,0.148273,0.125
32000,30,30,30,15,14,14,1,1,0.171078,0
33000,30,30,30,19,17,17,2,0.980392,0.150221,0
34000,30,30,30,16,16,16,0,0.964286,0.219006,0
35000,30,28,30,10,8,8,2,1,0.288198,0.111111
36000,30,30,30,13,13,13,0,1,0.246121,0
37000,30,30,30,17,17,17,0,0.989107,0.196847,0
38000,30,28,30,15,14,14,1,1,0.149533,0.133333
39000,30,30,30,15,14,14,1,1,0.184863,0
40000,30,30,30,17,16,16,1,0.967391,0.167143,0
41000,30,29,30,17,16,16,1,0.925595,0.174224,0.0625
42000,30,30,30,17,15,15,2,1,0.152248,0
43000,30,30,30,15,14,14,1,0.993197,0.160368,0
44000,30,30,30,17,16,16,1,0.99569,0.167253,0
44999.9,30,30,30,14,12,12,2,0.967262,0.258719,0
46000,30,29,30,16,14,14,2,1,0.155337,0.0666667
47000,30,29,30,19,18,18,1,0.977273,0.136547,0.0555556
48000,30,29,30,18,18,18,0,0.982143,0.151928,0.0555556
49000,30,28,30,16,16,16,0,0.980603,0.190989,0.133333
50000,30,28,30,15,14,14,1,0.959184,0.173497,0.142857
50999.9,30,30,30,15,14,14,1,1,0.18868,0
52000,30,29,30,17,16,16,1,0.951923,0.189529,0.0625
53000,30,29,30,15,13,13,2,1,0.189183,0.0714286
53999.8,30,30,30,15,15,15,0,1,0.17815,0
55000,30,29,30,14,12,12,2,0.935897,0.215374,0.0769231
56000,30,30,30,19,18,18,1,0.953241,0.166656,0
57000,30,30,30,18,17,17,1,0.986275,0.144375,0
58000,30,29,30,17,15,15,2,0.902011,0.202444,0.0625
59000,30,30,30,12,11,11,1,0.95671,0.255964,0
60000,30,30,30,10,9,9,1,1,0.251786,0
61000,30,30,30,15,14,14,1,0.904762,0.173256,0
62000,30,30,30,12,12,12,0,0.839981,0.285028,0
63000,30,30,30,15,13,13,2,1,0.167315,0
64000,30,30,30,17,16,16,1,1,0.19593,0
65000,30,30,30,15,14,14,1,1,0.213402,0
66000,30,28,30,14,13,13,1,0.95756,0.202954,0.153846
67000,30,29,30,13,12,12,1,0.948718,0.24944,0.0833333
68000,30,30,30,19,16,16,3,0.952438,0.168823,0
69000,30,29,30,18,17,17,1,0.949403,0.170486,0.0588235
70000,30,29,30,16,15,15,1,0.996825,0.147323,0.0666667
71000,30,30,30,14,13,13,1,0.947552,0.218208,0
72000,30,30,30,15,13,13,2,1,0.196363,0
73000,30,30,30,15,14,14,1,0.97449,0.182896,0
74000,30,30,30,13,13,13,0,1,0.204549,0
75000,30,30,30,18,16,16,2,0.902711,0.191717,0
76000,30,30,30,18,17,17,1,0.956863,0.175435,0
77000,30,30,30,15,15,15,0,1,0.206546,0
78000,30,29,30,14,14,14,0,0.956633,0.233467,0.0769231
79000,30,29,30,16,14,14,2,1,0.179361,0.0666667
80000,30,30,30,17,16,16,1,1,0.155124,0
81000,30,29,30,15,15,15,0,0.966667,0.203171,0.0714286
82000,30,29,30,13,12,12,1,0.983333,0.218578,0.0833333
83000,30,29,30,14,11,11,3,1,0.222135,0.0769231
84000,30,29,30,13,12,12,1,1,0.214901,0.0833333
85000,30,29,30,19,18,18,1,1,0.124395,0.0555556
86000,30,30,30,16,14,14,2,1,0.22115,0
87000,30,30,30,17,15,15,2,0.997333,0.183344,0
88000,30,30,30,17,16,16,1,0.990625,0.157521,0
89000,30,30,30,19,18,18,1,1,0.173529,0
90000,30,29,30,13,12,12,1,0.986842,0.168386,0.0833333
91000,30,30,30,12,11,11,1,0.990909,0.209771,0
92000,30,30,30,13,12,12,1,1,0.19363,0
93000,30,30,30,13,12,12,1,0.967792,0.196492,0
94000,30,28,30,16,15,15,1,0.902705,0.220593,0.133333
94999.9,30,29,30,17,15,15,2,0.920936,0.180385,0.0625
96000,30,30,30,18,16,16,2,1,0.15043,0
97000,30,29,30,17,16,16,1,0.940814,0.172097,0.0625
98000,30,30,30,16,14,14,2,0.97619,0.177438,0
99000,30,29,30,12,12,12,0,0.969444,0.263598,0.0909091
100000,30,29,30,12,11,11,1,1,0.188271,0.0909091
101000,30,30,30,16,14,14,2,1,0.183785,0
102000,30,29,30,15,15,15,0,0.952381,0.221749,0.0714286
103000,30,29,30,16,16,16,0,0.943182,0.222027,0.0666667
104000,30,28,30,16,13,13,3,0.983516,0.157506,0.133333
105000,30,29,30,15,13,13,2,0.962865,0.2029,0.0714286
106000,30,30,30,20,18,18,2,0.928241,0.158122,0
107000,30,30,30,17,16,16,1,0.995536,0.16285,0
108000,30,30,30,17,16,16,1,0.995833,0.191599,0
109000,30,30,30,14,13,13,1,0.964497,0.19314,0
110000,30,29,30,13,12,12,1,1,0.195321,0.0833333
111000,30,30,30,17,14,14,3,0.979167,0.163327,0
112000,30,30,30,12,11,11,1,0.922559,0.283971,0
113000,30,29,30,17,17,17,0,1,0.190261,0.0625
114000,30,29,30,15,12,12,3,1,0.246018,0.0714286
115000,30,30,30,13,12,12,1,0.977778,0.186977,0
116000,30,29,30,16,15,15,1,0.954667,0.161311,0.0666667
117000,30,29,30,18,16,16,2,1,0.155097,0.0588235
118000,30,29,30,16,15,15,1,0.975,0.207744,0.0666667
119000,30,29,30,19,16,16,3,0.923194,0.142632,0.0555556
120000,30,30,30,14,12,12,2,0.918155,0.233536,0
121000,30,30,30,11,11,11,0,0.9279,0.275262,0
122000,30,30,30,14,13,13,1,1,0.206004,0
123000,30,30,30,20,18,18,2,1,0.148588,0
124000,30,30,30,12,11,11,1,1,0.197969,0
125000,30,30,30,20,19,19,1,0.929543,0.184117,0
126000,30,30,30,16,16,16,0,0.96875,0.20492,0
127000,30,29,30,12,12,12,0,1,0.202754,0.0909091
128000,30,30,30,16,15,15,1,1,0.177156,0
129000,30,29,30,19,17,17,2,0.977376,0.17728,0.0555556
130000,30,29,30,19,18,18,1,0.947344,0.140891,0.0555556
131000,30,29,30,12,10,10,2,1,0.220129,0.0909091
132000,30,30,30,18,15,15,3,1,0.165394,0
133000,30,30,30,16,15,15,1,1,0.190646,0
134000,30,29,30,14,13,13,1,1,0.191173,0.0769231
135000,30,29,30,17,17,17,0,1,0.14921,0.0625
136000,30,29,30,16,16,16,0,0.938161,0.182931,0.0625
