seed,length_limit,time_limit,max_pols,k0,k,kact,ConcEff,Gact,Gbb,Conc0,Conc1,G0,G1,Ggen,Gend,outputfilename,outputtrajfilename,print_flag,print_valid_trans_flag,write_output_flag,write_traj_flag,traj_write_interval,breakable_backbone_flag,off_rate_discrim_flag,test_tact_flag,local_updates_flag,use_test_rates_flag
104712,30,200000,10000,1,1,0,100,0,-16,0,1,0,2,-2,0,output.csv,traj.csv,0,0,1,1,1000,1,1,0,1,0
104713,30,200000,10000,1,1,0,100,0,-16,0,1,0,2,-8,0,output.csv,traj.csv,0,0,1,1,1000,1,1,0,1,0
104714,30,200000,10000,1,1,0,100,0,-16,0,1,0,2,-13,0,output.csv,traj.csv,0,0,1,1,1000,1,1,0,1,0
104715,30,200000,10000,1,1,0,100,0,-2,0,1,0,2,-8,0,output.csv,traj.csv,0,0,1,1,1000,1,1,0,1,0
104716,30,200000,10000,1,1,0,100,0,-16,0,1,0,8,-2,0,output.csv,traj.csv,0,0,1,1,1000,1,1,0,1,0
104717,30,200000,10000,1,1,0,100,0,-16,0,1,0,8,-8,0,output.csv,traj.csv,0,0,1,1,1000,1,1,0,1,0
104718,30,200000,10000,1,1,0,100,0,-16,0,1,0,8,-13,0,output.csv,traj.csv,0,0,1,1,1000,1,1,0,1,0
104719,30,200000,10000,1,1,0,100,0,-16,0,1,0,8,-16,0,output.csv,traj.csv,0,0,1,1,1000,1,1,0,1,0
104720,30,200000,10000,1,1,0,100,0,-2,0,1,0,8,-2,0,output.csv,traj.csv,0,0,1,1,1000,1,1,0,1,0
104721,30,200000,10000,1,1,0,100,0,-2,0,1,0,8,-13,0,output.csv,traj.csv,0,0,1,1,1000,1,1,0,1,0
