seed,length_limit,time_limit,max_pols,k0,k,kact,ConcEff,Gact,Gbb,Conc0,Conc1,G0,G1,Ggen,Gend,outputfilename,outputtrajfilename,print_flag,print_valid_trans_flag,write_output_flag,write_traj_flag,traj_write_interval,breakable_backbone_flag,off_rate_discrim_flag,test_tact_flag,local_updates_flag,use_test_rates_flag
362671,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362672,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362673,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362674,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362675,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362676,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362677,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362678,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362679,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362680,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362681,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362682,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362683,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362684,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362685,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362686,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362687,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362688,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362689,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362690,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362691,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362692,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362693,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362694,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362695,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362696,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362697,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362698,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362699,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362700,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362701,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-6.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362702,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-6.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
362703,30,1000000,1000,1,0.001,0,100,0,0.0,0,1,0,8,-6.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
