seed,length_limit,time_limit,max_pols,k0,k,kact,ConcEff,Gact,Gbb,Conc0,Conc1,G0,G1,Ggen,Gend,outputfilename,outputtrajfilename,print_flag,print_valid_trans_flag,write_output_flag,write_traj_flag,traj_write_interval,breakable_backbone_flag,off_rate_discrim_flag,test_tact_flag,local_updates_flag,use_test_rates_flag
665701,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665702,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665703,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665704,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665705,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665706,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665707,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665708,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665709,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665710,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665711,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665712,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665713,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665714,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665715,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665716,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665717,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665718,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665719,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665720,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665721,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665722,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665723,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665724,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665725,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665726,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665727,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665728,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665729,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665730,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665731,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-6.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665732,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-6.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665733,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-6.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665734,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-6.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665735,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-6.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665736,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-7.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665737,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-7.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665738,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-7.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665739,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-7.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665740,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-7.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665741,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-8.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665742,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-8.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665743,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-8.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665744,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-8.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665745,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-8.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665746,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-9.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665747,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-9.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665748,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-9.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665749,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-9.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665750,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-9.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665751,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-10.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665752,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-10.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665753,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-10.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665754,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-10.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665755,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-10.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665756,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-11.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665757,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-11.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665758,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-11.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665759,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-11.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665760,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-11.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665761,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-12.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665762,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-12.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665763,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-12.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665764,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-12.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665765,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-12.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665766,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-13.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665767,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-13.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665768,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-13.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665769,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-13.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665770,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-13.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665771,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-14.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665772,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-14.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665773,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-14.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665774,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-14.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665775,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-14.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665776,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-15.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665777,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-15.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665778,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-15.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665779,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-15.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665780,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-15.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665781,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-16.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665782,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-16.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665783,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-16.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665784,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-16.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665785,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-16.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665786,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-17.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665787,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-17.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665788,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-17.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665789,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-17.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665790,30,1000000,1000,1,1,0,100,0,0.0,0,10,0,8,-17.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665791,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665792,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665793,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665794,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665795,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,0.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665796,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665797,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665798,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665799,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665800,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-1.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665801,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665802,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665803,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665804,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665805,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-2.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665806,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665807,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665808,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665809,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665810,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-3.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665811,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665812,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665813,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665814,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665815,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-4.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665816,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665817,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665818,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
665819,30,1000000,1000,1,1,0,100,0,-1.0,0,10,0,8,-5.0,0,output.csv,traj.csv,0,0,1,0,20000,1,1,0,1,0
