index,Gend,Complete probability,Complete samples,Error,Mean length,Total samples
0.0,0.0,0.11199999999999999,224.0,0.0,6.0183,2000.0
0.5,0.5,0.16909999999999997,338.2,0.0,6.2939,2000.0
1.0,1.0,0.25650000000000006,513.0,0.0,6.661499999999999,2000.0
1.5,1.5,0.3606,721.2,0.0,7.138499999999999,2000.0
2.0,2.0,0.47569999999999996,951.4,0.0,7.6286000000000005,2000.0
2.5,2.5,0.6036,1207.2,0.0,8.2067,2000.0
3.0,3.0,0.7152,1430.4,0.0,8.7345,2000.0
3.5,3.5,0.8047000000000001,1609.4,0.0,9.120500000000002,2000.0
4.0,4.0,0.8709,1741.8,0.0,9.4036,2000.0
4.5,4.5,0.9163,1832.6,0.0,9.6075,2000.0
5.0,5.0,0.9470999999999998,1894.2,0.0,9.760700000000002,2000.0
5.5,5.5,0.9698,1939.6,0.0,9.8655,2000.0
6.0,6.0,0.9818,1963.6,0.0,9.920300000000001,2000.0
6.5,6.5,0.9888,1977.6,0.0,9.951400000000001,2000.0
7.0,7.0,0.9934000000000001,1986.8,0.0,9.971799999999998,2000.0
7.5,7.5,0.9959,1991.8,0.0,9.9792,2000.0
8.0,8.0,0.9967,1993.4,0.0,9.9822,2000.0
8.5,8.5,0.9953999999999998,1990.8,0.0,9.970099999999999,2000.0
9.0,9.0,0.9878,1975.6,0.0,9.912,2000.0
9.5,9.5,0.9711000000000001,1942.2,0.0,9.7805,2000.0
10.0,10.0,0.9551000000000001,1910.2,0.0,9.6554,2000.0
10.5,10.5,0.9247,1849.4,0.0,9.418199999999999,2000.0
11.0,11.0,0.8924,1784.8,0.0,9.1626,2000.0
11.5,11.5,0.8708,1741.6,0.0,8.9909,2000.0
12.0,12.0,0.8600999999999999,1720.2,0.0,8.903200000000002,2000.0
12.5,12.5,0.858,1716.0,0.0,8.888900000000001,2000.0
13.0,13.0,0.8422000000000001,1684.4,0.0,8.758700000000001,2000.0
13.5,13.5,0.8403,1680.6,0.0,8.7426,2000.0
14.0,14.0,0.8369000000000002,1673.8,0.0,8.7177,2000.0
14.5,14.5,0.8242999999999998,1648.6,0.0,8.6153,2000.0
15.0,15.0,0.8222999999999999,1644.6,0.0,8.5977,2000.0
15.5,15.5,0.8207000000000001,1641.4,0.0,8.5821,2000.0
16.0,16.0,0.8176,1635.2,0.0,8.5642,2000.0
16.5,16.5,0.8032,1606.4,0.0,8.451899999999998,2000.0
17.0,17.0,0.7938000000000001,1587.6,0.0,8.3708,2000.0
17.5,17.5,0.7716,1543.2,0.0,8.1964,2000.0
18.0,18.0,0.7289,1457.8,0.0,7.852499999999999,2000.0
18.5,18.5,0.6881999999999999,1376.4,0.0,7.5367999999999995,2000.0
19.0,19.0,0.6311,1262.2,0.0,7.0836,2000.0
19.5,19.5,0.5553999999999999,1110.8,0.0,6.4833,2000.0
20.0,20.0,0.48419999999999996,968.4,0.0,5.9205999999999985,2000.0
20.5,20.5,0.42669999999999997,853.4,0.0,5.464699999999999,2000.0
21.0,21.0,0.3727,745.4,0.0,5.0377,2000.0
21.5,21.5,0.3471,694.2,0.0,4.8449,2000.0
22.0,22.0,0.33720000000000006,674.4,0.0,4.7789,2000.0
22.5,22.5,0.3376,675.2,0.0,4.8002,2000.0
23.0,23.0,0.3437,687.4,0.0,4.8736999999999995,2000.0
23.5,23.5,0.3758,751.6,0.0,5.1741,2000.0
24.0,24.0,0.4206,841.2,0.0,5.573400000000001,2000.0
24.5,24.5,0.5146000000000001,1029.2,0.0,6.346,2000.0
25.0,25.0,0.6516,1303.2,0.0,7.421700000000001,2000.0
25.5,25.5,0.8338000000000001,1667.6,0.0,8.7899,2000.0
26.0,26.0,0.9526000000000001,1905.2,0.0,9.659499999999998,2000.0
26.5,26.5,0.9879,1975.8,0.0,9.919,2000.0
27.0,27.0,0.991,1982.0,0.0,9.951699999999999,2000.0
27.5,27.5,0.9914,1982.8,0.0,9.959,2000.0
28.0,28.0,0.9861000000000001,1972.2,0.0,9.9329,2000.0
28.5,28.5,0.9772000000000001,1954.4,0.0,9.8962,2000.0
29.0,29.0,0.9624,1924.8,0.0,9.8367,2000.0
29.5,29.5,0.9375420593061106,1227.0,0.0,9.727520603509822,1308.8
30.0,30.0,0.8995730843259668,764.4,0.0,9.560767414892078,849.6
30.5,30.5,0.8507312669622739,454.4,0.0,9.296968113301848,534.4
31.0,31.0,0.7870860379161139,290.8,0.0,9.04788069680465,369.6
31.5,31.5,0.6757318026737804,172.0,0.0,8.581054434880292,254.6
32.0,32.0,0.5269333613419633,96.2,0.0,7.862949588842062,182.6
32.5,32.5,0.4160460988227238,59.6,0.0,7.367413275049289,143.8
33.0,33.0,0.2991339212683602,34.0,0.0,6.857854436003954,115.6
33.5,33.5,0.20853038957787237,22.4,0.0,6.398759346895972,108.2
34.0,34.0,0.15648962148962148,14.0,0.0,6.088852258852258,89.0
34.5,34.5,0.0949437988911673,8.8,0.0,5.867418546365914,89.2
35.0,35.0,0.044325100848436175,3.6,0.0,5.749950185047474,80.6
35.5,35.5,0.02461035361933267,2.2,0.0,5.5569966902624035,89.4
36.0,36.0,0.02802273394797733,2.4,0.0,5.647644115392606,87.8
36.5,36.5,0.010869473261212102,0.8,0.0,5.557422685020953,78.8
37.0,37.0,0.012810904266012623,1.0,0.0,5.693367978770455,80.6
37.5,37.5,0.0,0.0,,5.482662661285391,85.0
38.0,38.0,0.0,0.0,,5.604616584157355,78.2
38.5,38.5,0.0,0.0,,5.454360124299056,86.2
39.0,39.0,0.004313725490196078,0.4,0.0,5.5550118229109815,92.0
39.5,39.5,0.004395604395604396,0.4,0.0,5.617592955567639,84.8
40.0,40.0,0.0,0.0,,5.628373819309539,86.4
