seed,length_limit,time_limit,max_pols,k0,k,kact,ConcEff,Gact,Gbb,Conc0,Conc1,G0,G1,Ggen,Gend,outputfilename,outputtrajfilename,print_flag,print_valid_trans_flag,write_output_flag,write_traj_flag,traj_write_interval,breakable_backbone_flag,off_rate_discrim_flag,test_tact_flag,local_updates_flag,use_test_rates_flag
1405937,10,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-12,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1405938,10,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-12,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1405939,10,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-12,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1405940,10,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-12,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1405941,10,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-12,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1405942,10,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-12,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1405943,10,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-12,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1405944,10,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-12,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1405945,10,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-12,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1405946,10,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-12,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1405947,10,10000000,2000,1,1,0,100,0,-20,0,1,0,2,-12,1.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
