index,Gend,Complete probability,Complete samples,Error,Mean length,Total samples
0.0,0.0,0.0363,72.6,0.0,16.0977,2000.0
0.5,0.5,0.058399999999999994,116.8,0.0,16.3246,2000.0
1.0,1.0,0.08820000000000001,176.4,0.0,16.8659,2000.0
1.5,1.5,0.1359,271.8,0.0,17.544000000000004,2000.0
2.0,2.0,0.2057,411.4,0.0,18.523400000000002,2000.0
2.5,2.5,0.3023,604.6,0.0,19.8883,2000.0
3.0,3.0,0.4244,848.8,0.0,21.6877,2000.0
3.5,3.5,0.5554,1110.8,0.0,23.641700000000004,2000.0
4.0,4.0,0.6721999999999999,1344.4,0.0,25.294600000000003,2000.0
4.5,4.5,0.7609000000000001,1521.8,0.0,26.5716,2000.0
5.0,5.0,0.8485999999999999,1697.2,0.0,27.859499999999997,2000.0
5.5,5.5,0.908,1816.0,0.0,28.6452,2000.0
6.0,6.0,0.9411000000000002,1882.2,0.0,29.161700000000003,2000.0
6.5,6.5,0.9640000000000001,1928.0,0.0,29.464100000000002,2000.0
7.0,7.0,0.9682000000000001,1936.4,0.0,29.4627,2000.0
7.5,7.5,0.9690000000000001,1938.0,0.0,29.452199999999998,2000.0
8.0,8.0,0.9639000000000001,1927.8,0.0,29.265200000000004,2000.0
8.5,8.5,0.9597000000000001,1919.4,0.0,29.210699999999996,2000.0
9.0,9.0,0.9550000000000001,1910.0,0.0,29.0528,2000.0
9.5,9.5,0.9570000000000001,1914.0,0.0,29.0831,2000.0
10.0,10.0,0.9570000000000001,1914.0,0.0,29.057,2000.0
10.5,10.5,0.9511,1902.2,0.0,28.907100000000003,2000.0
11.0,11.0,0.951,1902.0,0.0,28.8961,2000.0
11.5,11.5,0.9488,1897.6,0.0,28.851799999999997,2000.0
12.0,12.0,0.9514999999999999,1903.0,0.0,28.9192,2000.0
12.5,12.5,0.9455,1891.0,0.0,28.746999999999996,2000.0
13.0,13.0,0.9467000000000001,1893.4,0.0,28.7674,2000.0
13.5,13.5,0.9470000000000001,1894.0,0.0,28.756100000000004,2000.0
14.0,14.0,0.9471999999999999,1894.4,0.0,28.761899999999997,2000.0
14.5,14.5,0.9395,1879.0,0.0,28.6196,2000.0
