seed,length_limit,time_limit,max_pols,k0,k,kact,ConcEff,Gact,Gbb,Conc0,Conc1,G0,G1,Ggen,Gend,outputfilename,outputtrajfilename,print_flag,print_valid_trans_flag,write_output_flag,write_traj_flag,traj_write_interval,breakable_backbone_flag,off_rate_discrim_flag,test_tact_flag,local_updates_flag,use_test_rates_flag
1202607,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202608,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202609,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202610,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202611,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,0.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202612,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202613,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202614,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202615,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202616,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,0.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202617,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202618,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202619,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202620,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202621,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,1.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202622,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202623,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202624,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202625,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202626,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,1.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202627,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202628,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202629,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202630,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202631,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,2.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202632,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202633,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202634,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202635,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202636,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,2.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202637,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202638,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202639,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202640,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202641,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,3.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202642,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,3.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202643,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,3.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202644,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,3.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202645,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,3.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202646,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,3.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202647,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,4.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202648,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,4.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202649,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,4.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202650,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,4.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202651,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,4.0,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202652,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,4.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202653,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,4.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202654,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,4.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202655,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,4.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
1202656,30,10000000,2000,1,1,0,100,0,-20,0,1,0,-4,-12,4.5,output.csv,traj.csv,0,0,1,1,250000,1,1,0,1,0
