index,Gend,Complete probability,Complete samples,Error,Mean length,Total samples
0.0,0.0,0.0042,8.4,0.0,8.81,2000.0
0.5,0.5,0.0061,12.2,0.0,8.910400000000001,2000.0
1.0,1.0,0.0068000000000000005,13.6,0.0,8.833900000000002,2000.0
1.5,1.5,0.0091,18.2,0.0,8.869,2000.0
2.0,2.0,0.014000000000000002,28.0,0.0,8.904,2000.0
2.5,2.5,0.0153,30.6,0.0,8.6151,2000.0
3.0,3.0,0.017,34.0,0.0,8.424299999999999,2000.0
3.5,3.5,0.014599999999999998,29.2,0.0,8.1073,2000.0
4.0,4.0,0.016,32.0,0.0,8.145599999999998,2000.0
4.5,4.5,0.0154,30.8,0.0,8.281899999999998,2000.0
5.0,5.0,0.0126,25.2,0.0,8.272400000000001,2000.0
5.5,5.5,0.0144,28.8,0.0,8.640600000000001,2000.0
6.0,6.0,0.0118,23.6,0.0,8.704,2000.0
6.5,6.5,0.009900000000000003,19.8,0.0,8.8179,2000.0
7.0,7.0,0.0078,15.6,0.0,8.834399999999999,2000.0
7.5,7.5,0.0055,11.0,0.0,8.844100000000001,2000.0
8.0,8.0,0.0034000000000000002,6.8,0.0,8.7657,2000.0
8.5,8.5,0.0026000000000000003,5.2,0.0,8.8194,2000.0
9.0,9.0,0.0019000000000000002,3.8,0.0,8.787700000000003,2000.0
9.5,9.5,0.0008,1.6,0.0,8.755199999999999,2000.0
10.0,10.0,0.0001,0.2,0.0,8.7124,2000.0
10.5,10.5,0.0001,0.2,0.0,8.6994,2000.0
11.0,11.0,0.0002,0.4,0.0,8.760600000000002,2000.0
11.5,11.5,0.0001,0.2,0.0,8.722199999999999,2000.0
12.0,12.0,0.0,0.0,,8.6039,2000.0
12.5,12.5,0.0,0.0,,8.7337,2000.0
13.0,13.0,0.0001,0.2,0.0,8.7258,2000.0
13.5,13.5,0.0001,0.2,0.0,8.6865,2000.0
14.0,14.0,0.0,0.0,,8.738000000000001,2000.0
14.5,14.5,0.0001,0.2,0.0,8.753200000000001,2000.0
15.0,15.0,0.0,0.0,,8.6938,2000.0
15.5,15.5,0.0,0.0,,8.7173,2000.0
16.0,16.0,0.0,0.0,,8.6886,2000.0
16.5,16.5,0.0,0.0,,8.736500000000001,2000.0
17.0,17.0,0.0,0.0,,8.682500000000001,2000.0
17.5,17.5,0.0,0.0,,8.766900000000001,2000.0
18.0,18.0,0.0,0.0,,8.7584,2000.0
18.5,18.5,0.0,0.0,,8.707399999999998,2000.0
19.0,19.0,0.0,0.0,,8.7685,2000.0
19.5,19.5,0.0,0.0,,8.780700000000001,2000.0
20.0,20.0,0.0,0.0,,8.6846,2000.0
20.5,20.5,0.0,0.0,,8.652800000000001,2000.0
21.0,21.0,0.0,0.0,,8.751499999999998,2000.0
21.5,21.5,0.0,0.0,,8.700399999999998,2000.0
22.0,22.0,0.0,0.0,,8.678799999999999,2000.0
